id	en	sv		
10890	Cyprus dispute	Cypernfrågan		
10891	Commedia dell'arte	Commedia_dell'arte		
10892	Bloodhound Gang	Bloodhound_Gang		
10893	Biotechnology	Bioteknik		
10894	Paranasal sinuses	Bihåla		
10895	Mountain range	Bergskedja		
10896	Battalion	Bataljon		
10897	Syllabification	Avstavning		
10898	Aneurysm	Artärbråck		
10899	Antagonist	Antagonist_(narratologi)		
10900	ABS	ABS		
10901	Fourth Estate	Tredje_statsmakten		
10902	Orangery	Orangeri		
10903	Paralysis	Förlamning		
10904	Discounts and allowances	Betalningsvillkor		
10905	White Aryan Resistance (Sweden)	Vitt_Ariskt_Motstånd		
10906	Vadstena Castle	Vadstena_slott		
10907	Foreign minister	Utrikesminister		
10908	Magic (illusion)	Trolleri		
10909	The League of Extraordinary Gentlemen (film)	The_League		
10910	Synchronous motor	Synkronmotor		
10911	Confederation of Swedish Enterprise	Svenskt_Näringsliv		
10912	Spelling	Stavning		
10913	Social stratification	Social_stratifiering		
10914	Ship transport	Sjöfart		
10915	Sergio Ramos	Sergio_Ramos		
10916	Sarcoidosis	Sarkoidos		
10917	Saab 340	Saab_340		
10918	SAP	SAP		
10919	Rook (bird)	Råka		
10920	Psychosomatic medicine	Psykosomatisk		
10921	Pornographic magazine	Pornografisk_tidning		
10922	Peter Tägtgren	Peter_Tägtgren		
10923	Conventional PCI	Peripheral_Component_Interconnect		
10924	Papa Roach	Papa_Roach		
10925	Nuuk	Nuuk		
10926	Mule	Mula		
10927	Gustav III of Sweden#Assassination	Mordet_på_Gustav_III		
10928	Minority group	Minoritet		
10929	Herbalism#Modern herbal medicine	Medicinalväxt		
10930	Matthew McConaughey	Matthew_McConaughey		
10931	Esophagus	Matstrupe		
10932	Marshmallow	Marshmallows		
10933	MD5	MD5		
10934	M. A. Numminen	M.A._Numminen		
10935	Laholm	Laholm		
10936	War and Peace	Krig_och_fred		
10937	Classical mechanics	Klassisk_mekanik		
10938	Kevin Richardson (musician)	Kevin_Richardson		
10939	Cologne Cathedral	Kölnerdomen		
10940	Jennifer Garner	Jennifer_Garner		
10941	James Stewart	James_Stewart		
10942	Jaguar Cars	Jaguar_(bilmärke)		
10943	Jönssonligan och den svarta diamanten	Jönssonligan_&_den_svarta_diamanten		
10944	Interaction design	Interaktionsdesign		
10945	Idaho	Idaho		
10946	Hu Jintao	Hu_Jintao		
10947	Hotpants	Hotpants		
10948	Hetaera	Hetär		
10949	Hamburger SV	Hamburger_SV		
10950	Flora (disambiguation)	Flora		
10951	Figge Norling	Figge_Norling		
10952	Fault (geology)	Förkastning		
10953	Electromagnet	Elektromagnet		
10954	Economist	Ekonom		
10955	Organic farming	Ekologiskt_jordbruk		
10956	Body dysmorphic disorder	Dysmorfofobi		
10957	Douglas DC-3	Douglas_DC-3		
10958	Eurasian Bullfinch	Domherre		
10959	Dagens Nyheter Tower	DN-skrapan		
10960	DKW	DKW		
10961	Cocktail	Cocktail		
10962	Catch-22 (disambiguation)	Catch_22		
10963	Blót	Blot		
10964	Benjamin McKenzie	Benjamin_McKenzie		
10965	Belgian Shepherd	Belgisk_vallhund		
10966	APA	Apa		
10967	Andrei Arshavin	Andrej_Arsjavin		
10968	Admiral	Amiral		
10969	Amazons	Amasoner		
10970	1953	1953		
10971	Örjan Ramberg	Örjan_Ramberg		
10972	Web service	Web_service		
10973	Right-wing politics	Politisk_höger		
10974	List of cities in Denmark by population	Lista_över_städer_i_Danmark_efter_storlek		
10975	Soil	Jord		
10976	Wilmer Valderrama	Wilmer_Valderrama		
10977	Volvo Duett	Volvo_Duett		
10978	Vivisection	Vivisektion		
10979	Vimmerby	Vimmerby		
10980	Wilhelm II	Vilhelm_II_av_Tyskland		
10981	Pus	Var_(medicin)		
10982	Vangelis	Vangelis		
10983	United States Declaration of Independence	USA:s_självständighetsförklaring		
10984	Transnistria	Transnistrien		
10985	Back to the Future	Tillbaka_till_framtiden		
10986	The Butterfly Effect	The_Butterfly_Effect		
10987	Rolling Stone's 500 Greatest Albums of All Time	The_500_Greatest_Albums_of_All_Time		
10988	Telecommunication	Telekommunikation		
10989	Sveriges Radio P4	Sveriges_Radio_P4		
10990	Swedish Sign Language	Svenskt_teckenspråk		
10991	Swedish Football Association	Svenska_Fotbollförbundet		
10992	AB Svensk Filmindustri	Svensk_Filmindustri		
10993	Battle of Midway	Slaget_vid_Midway		
10994	Display resolution	Skärmupplösning		
10995	Roger Waters	Roger_Waters		
10996	Robert F. Kennedy	Robert_F._Kennedy		
10997	Risk	Risk		
10998	Pung	Pung		
10999	Project management	Projektledning		
11000	Prince (disambiguation)	Prince		
11001	Predicate (grammar)	Predikat		
11002	Popcorn	Popcorn		
11003	Platonism	Platonism		
11004	Peregrine Falcon	Pilgrimsfalk		
11005	Permafrost	Permafrost		
11006	Morten Harket	Morten_Harket		
11007	Mjölby	Mjölby		
11008	Mike Myers	Mike_Myers		
11009	Mark Antony	Marcus_Antonius		
11010	Lucky Strike	Lucky_Strike		
11011	Ljusnan	Ljusnan		
11012	Little My	Lilla_My		
11013	Leipzig	Leipzig		
11014	Larix decidua	Lärk		
11015	Procuring (prostitution)	Koppleri		
11016	Coordinates (mathematics)	Koordinater		
11017	Kill 'Em All	Kill_'em_All		
11018	Narcotic	Narkotika		
11019	Hypodermic needle	Kanyl		
11020	Juno (mythology)	Juno		
11021	John Terry	John_Terry		
11022	Jan Mårtenson	Jan_Mårtenson_(född_1933)		
11023	Iranian Revolution	Iranska_revolutionen		
11024	Investment	Investering		
11025	Ian Curtis	Ian_Curtis		
11026	Huddinge Municipality	Huddinge_kommun		
11027	Halo 3	Halo_3		
11028	Yellow	Gul		
11029	Giorgio Armani	Giorgio_Armani		
11030	Friends (Swedish band)	Friends_(musikgrupp)		
11031	File system	Filsystem		
11032	Eros Ramazzotti	Eros_Ramazzotti		
11033	Elias	Elias		
11034	Elfen Lied	Elfen_Lied		
11035	Brave New World	Du_sköna_nya_värld		
11036	Dionne Warwick	Dionne_Warwick		
11037	Devon (disambiguation)	Devon		
11038	Cypress Hill	Cypress_Hill		
11039	Criss Angel	Criss_Angel		
11040	Cortex	Cortex		
11041	Scotch Collie	Collie		
11042	History of Brazil	Brasiliens_historia		
11043	Bosphorus	Bosporen		
11044	Bonnie Wright	Bonnie_Wright		
11045	Big Mac	Big_Mac		
11046	Bacon	Bacon		
11047	Shoulder	Axel_(kroppsdel)		
11048	History of Australia	Australiens_historia		
11049	Asynjur	Asynjor		
11050	Anna Gavalda	Anna_Gavalda		
11051	Dr. No (film)	Agent_007_med_rätt_att_döda		
11052	1958	1958		
11053	Naomi (pornographic actress)	Naomi_(porrstjärna)		
11054	Keratosis pilaris	Keratosis_pilaris		
11055	Windows NT	Windows_NT		
11056	West Side Story	West_Side_Story		
11057	Domestic violence	Våld_i_nära_relationer		
11058	Turkish Airlines	Turkish_Airlines		
11059	Thursday	Torsdag		
11060	Torgny Lindgren	Torgny_Lindgren		
11061	The Outsiders (film)	The_Outsiders		
11062	Tasmanian devil	Tasmansk_djävul		
11063	Mycosis	Svampinfektion		
11064	Stig Anderson	Stikkan_Anderson		
11065	Spanish cuisine	Spanska_köket		
11066	Summer	Sommar		
11067	Social anthropology	Socialantropologi		
11068	Mustard (condiment)	Senap		
11069	Samoyed (dog)	Samojedhund		
11070	Rune Andréasson	Rune_Andréasson		
11071	Roxy Music	Roxy_Music		
11072	The Pink Panther	Rosa_pantern		
11073	Architecture	Arkitektur		
11074	Paragraphos	Paragraf		
11075	Nazareth (band)	Nazareth		
11076	Napoleon III	Napoleon_III		
11077	Execution by shooting	Nackskott		
11078	1969 in music	Musikåret_1969		
11079	Courage	Mod		
11080	1973 Chilean coup d'état	Militärkuppen_i_Chile_1973		
11081	Margot Wallström	Margot_Wallström		
11082	Human gastrointestinal tract	Mag-tarmkanalen		
11083	ISO metric screw thread	M-gänga		
11084	Slow slicing	Lingchi		
11085	Liam Gallagher	Liam_Gallagher		
11086	Ketosis	Ketos_(metabolt_tillstånd)		
11087	Ke (unit)	Ke		
11088	Disaster	Katastrof		
11089	Ministry of Justice (Sweden)	Justitiedepartementet		
11090	Julian Casablancas	Julian_Casablancas		
11091	Johan Rabaeus	Johan_Rabaeus		
11092	Indigo dye	Indigo_(färgämne)		
11093	In the Hall of the Mountain King	I_bergakungens_sal		
11094	IUPAC nomenclature	IUPAC-nomenklatur		
11095	Internet Group Management Protocol	IGMP		
11096	Hillary Scott (pornographic actress)	Hillary_Scott		
11097	Birman	Helig_birma		
11098	He-Man	He-Man		
11099	Non sequitur	Goddag_yxskaft		
11100	Glenn (name)	Glenn		
11101	Full moon	Fullmåne		
11102	Football in Sweden	Fotboll_i_Sverige		
11103	Social movement	Folkrörelse		
11104	Ancient Egyptian religion	Egyptisk_religion		
11105	Dida (footballer born 1973)	Dida		
11106	David Letterman	David_Letterman		
11107	Occupation of Denmark	Danmark_under_andra_världskriget		
11108	Count Carl Johan Bernadotte of Wisborg	Carl_Johan_Bernadotte		
11109	Brackish water	Bräckt_vatten		
11110	Blackjack	Black_Jack		
11111	Beta	Beta		
11112	Sermon on the Mount	Bergspredikan		
11113	Babben Larsson	Babben_Larsson		
11114	Arianism	Arianism		
11115	Swedish Public Employment Service	Arbetsförmedlingen		
11116	Albanian language	Albanska		
11117	Acrylic paint	Akrylfärg		
11118	Agape	Agape		
11119	14th century	1300-talet		
11120	Željko Ražnatović	Željko_Ražnatović		
11121	OPEC	Opec		
11122	Endangered species	Utrotningshotad_art		
11123	Ulf Adelsohn	Ulf_Adelsohn		
11124	Dry ice	Torris		
11125	The Dubliners	The_Dubliners		
11126	Terry Jones	Terry_Jones		
11127	Candidal vulvovaginitis	Svampinfektion_i_underlivet		
11128	Strul	Strul_(film)		
11129	Stockholm Bromma Airport	Stockholm-Bromma_flygplats		
11130	Somali language	Somaliska		
11131	Sunflower	Solros		
11132	Open sandwich	Smörgås		
11133	Battle of Kursk	Slaget_vid_Kursk		
11134	Saltsjöbaden Agreement	Saltsjöbadsavtalet		
11135	Rob Zombie	Rob_Zombie		
11136	Recursion	Rekursion		
11137	Ragnar Östberg	Ragnar_Östberg		
11138	Americas	Amerika		
11139	Passive house	Passivhus		
11140	Pangasius	Pangasius		
11141	Miranda Kerr	Miranda_Kerr		
11142	Mel Brooks	Mel_Brooks		
11143	Mathematician	Matematiker		
11144	Mario Balotelli	Mario_Balotelli		
11145	Marathon	Marathon		
11146	Luleå HF	Luleå_HF		
11147	Loyalty	Lojalitet		
11148	Llanfairpwllgwyngyll	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch		
11149	List of operating systems	Lista_över_operativsystem		
11150	List of songs recorded by Elvis Presley	Lista_över_Elvis_Presleys_alla_låtar		
11151	Leninism	Leninism		
11152	King Lear	Kung_Lear		
11153	Carl Gustav M/45	Kulsprutepistol_m/45		
11154	Committee on the Constitution (Parliament of Sweden)	Konstitutionsutskottet		
11155	Seawise Giant	Knock_Nevis		
11156	Klara Church	Klara_kyrka		
11157	Swedish dialects	Svenska_dialekter		
11158	Kate Moss	Kate_Moss		
11159	Duck universe	Kalle_Ankas_universum		
11160	Kådisbellan (film)	Kådisbellan_(film)		
11161	Resin	Kåda		
11162	Nikita Fouganthine	Juha_Valjakkala		
11163	Jon Olsson	Jon_Olsson		
11164	John Keats	John_Keats		
11165	Jefferson Airplane	Jefferson_Airplane		
11166	Adobe InDesign	Indesign		
11167	Habanero chili	Habanero		
11168	Growling (disambiguation)	Growl		
11169	Göran Greider	Göran_Greider		
11170	Typhus	Fläcktyfus		
11171	Falun Municipality	Falu_kommun		
11172	Fagersta	Fagersta		
11173	Eris (mythology)	Eris_(gudinna)		
11174	Mixed drink	Drink		
11175	Dee Demirbag	Dilnarin_Demirbag		
11176	Cradle of Filth	Cradle_of_Filth		
11177	Cold reading	Cold_reading		
11178	Carl Wilhelm Scheele	Carl_Wilhelm_Scheele		
11179	Bohemian Rhapsody	Bohemian_Rhapsody		
11180	Barium	Barium		
11181	Backgammon	Backgammon		
11182	Om	Aum		
11183	Arvid Lindman	Arvid_Lindman		
11184	Arkansas	Arkansas		
11185	April	April		
11186	Angerfist	Angerfist		
11187	Alto	Alt		
11188	Alpha	Alfa		
11189	Alex Jones (radio host)	Alex_Jones		
11190	Adonis	Adonis		
11191	Aaron Antonovsky	Aaron_Antonovsky		
11192	Édouard Manet	Édouard_Manet		
11193	Elfdalian language	Älvdalska		
11194	Luftwaffe	Tysklands_flygvapen		
11195	Octal	Oktala_talsystemet		
11196	Camshaft	Kamaxel		
11197	Zionist Occupation Government	Zionist_Occupation_Government		
11198	Sighthound	Vinthund		
11199	Val Kilmer	Val_Kilmer		
11200	Värmland County	Värmlands_län		
11201	And Then There Were None	Tio_små_negerpojkar		
11202	The Voice TV Finland	The_Voice		
11203	14th Dalai Lama	Tenzin_Gyatso		
11204	Think tank	Tankesmedja		
11205	Svenska Akademien (band)	Svenska_Akademien_(musikgrupp)		
11206	Steve Vai	Steve_Vai		
11207	Static electricity	Statisk_elektricitet		
11208	Infant	Spädbarn		
11209	Gallipoli Campaign	Slaget_vid_Gallipoli		
11210	Sioux	Sioux		
11211	Rhinovirus	Rhinovirus		
11212	Randy Jackson	Randy_Jackson		
11213	Preppy	Preppy		
11214	Leucanthemum vulgare	Prästkrage		
11215	Bird	Fåglar		
11216	Petter	Petter		
11217	Patrician (ancient Rome)	Patricier		
11218	Orgy	Orgie		
11219	1912 Summer Olympics	Olympiska_sommarspelen_1912		
11220	Octane rating	Oktantal		
11221	Nora	Nora		
11222	Nokia 3310	Nokia_3310		
11223	Network interface controller	Nätverkskort		
11224	Retina	Näthinna		
11225	Power supply	Nätaggregat		
11226	Moraine	Morän_(landform)		
11227	Millencolin	Millencolin		
11228	Mea Culpa (disambiguation)	Mea_culpa		
11229	Mathematical analysis	Matematisk_analys		
11230	Markus Näslund	Markus_Näslund		
11231	Marfan syndrome	Marfans_syndrom		
11232	Marcia Cross	Marcia_Cross		
11233	Little Richard	Little_Richard		
11234	List of rivers of Sweden	Lista_över_vattendrag_i_Sverige		
11235	List of aircraft carriers	Lista_över_hangarfartyg		
11236	Lignin	Lignin		
11237	LIBRIS	Libris_(bibliotekskatalog)		
11238	Lenny Kravitz	Lenny_Kravitz		
11239	Laura Trenter	Laura_Trenter		
11240	Lapland (Finland)	Lappland		
11241	Liquorice	Lakritsrot		
11242	European garden spider	Korsspindel		
11243	Joseph Gordon-Levitt	Joseph_Gordon-Levitt		
11244	Jon Nödtveidt	Jon_Nödtveidt		
11245	Jacob (name)	Jakob		
11246	Horst (geology)	Horst		
11247	Höllviken	Höllviken		
11248	Green tea	Grönt_te		
11249	Gibson Les Paul	Gibson_Les_Paul		
11250	Gary Oldman	Gary_Oldman		
11251	Ernst Kaltenbrunner	Ernst_Kaltenbrunner		
11252	Eric XI of Sweden	Erik_Eriksson_(kung)		
11253	Unicorn	Enhörning		
11254	The Da Vinci Code (film)	Da_Vinci-koden_(film)		
11255	Space Shuttle Challenger	Challenger_(rymdfärja)		
11256	Camp Rock	Camp_Rock		
11257	Succession to the British throne	Brittiska_tronföljden		
11258	Bering Strait	Berings_sund		
11259	Need	Behov		
11260	Basalt	Basalt		
11261	Show jumping	Banhoppning		
11262	Cestoda	Bandmaskar		
11263	Bambi	Bambi_(film)		
11264	Volvo Redblock Engine	B23		
11265	Askersund	Askersund		
11266	Annalisa Ericson	Annalisa_Ericson		
11267	Akihito	Akihito		
11268	Hot water storage tank	Ackumulatortank		
11269	Structure (disambiguation)	Struktur		
11270	Social work	Socialt_arbete		
11271	Sensor	Sensor		
11272	Western (genre)	Western		
11273	Bismuth	Vismut		
11274	Varberg Fortress	Varbergs_fästning		
11275	VMware	VMware		
11276	World's fair	Världsutställning		
11277	Exclamation mark	Utropstecken		
11278	Deed	Urkund		
11279	History of Germany	Tysklands_historia		
11280	Tongue	Tunga		
11281	Asset	Tillgång		
11282	The Coca-Cola Company	The_Coca-Cola_Company		
11283	Tel Aviv	Tel_Aviv		
11284	The Tempest	Stormen		
11285	Sollentuna	Sollentuna		
11286	Horseradish	Pepparrot		
11287	Pledge (law)	Pant		
11288	PDA (disambiguation)	PDA		
11289	Chairman	Ordförande		
11290	Omega	Omega		
11291	2004 Summer Olympics	Olympiska_sommarspelen_2004		
11292	Nürburgring	Nürburgring		
11293	Meja	Meja		
11294	Mark St. John	Mark_St._John		
11295	Marc Chagall	Marc_Chagall		
11296	Mads Mikkelsen	Mads_Mikkelsen		
11297	Inguinal hernia	Ljumskbråck		
11298	List of International Organization for Standardization standards	Lista_över_ISO-standarder		
11299	Lilac (color)	Lila		
11300	The Lion King II: Simba's Pride	Lejonkungen_II_-_Simbas_skatt		
11301	Kronprinsen	Kronprinsen		
11302	Channel Tunnel	Kanaltunneln		
11303	Japanese Chin	Japanese_chin		
11304	Jörn Donner	Jörn_Donner		
11305	Information system	Informationssystem		
11306	Idea	Idé		
11307	Horace	Horatius		
11308	Helmut Kohl	Helmut_Kohl		
11309	Harsprånget hydroelectric power station	Harsprånget		
11310	Hannah Montana: The Movie	Hannah_Montana:_The_Movie		
11311	Wrist	Handled		
11312	Gorgoroth	Gorgoroth		
11313	Glucagon	Glukagon		
11314	Gladiators (television franchise)	Gladiatorerna_(TV-program)		
11315	French Riviera	Franska_rivieran		
11316	Bone fracture	Fraktur_(medicin)		
11317	Flower power	Flower_power		
11318	Flemingsberg	Flemingsberg		
11319	Fauna	Fauna		
11320	Fanaticism	Fanatism		
11321	Truss	Fackverk		
11322	Color code	Färgkod		
11323	English Springer Spaniel	Engelsk_springer_spaniel		
11324	EMI	EMI		
11325	European route E45	E45		
11326	Dís	Diser		
11327	Flying Spaghetti Monster	Det_flygande_spaghettimonstret		
11328	Cullinan Diamond	Cullinandiamanten		
11329	Chrysler Building	Chrysler_Building		
11330	Caesar salad	Caesarsallad		
11331	CH	CH		
11332	Bulk	Bulk		
11333	Abdomen	Buken		
11334	Bakelite	Bakelit		
11335	Assyrian flag	Assyriska_flaggan		
11336	bell's palsy	Ansiktsförlamning		
11337	1914	1914		
11338	Pendulum	Pendel		
11339	Max Ernst	Max_Ernst		
11340	Ivo Andrić	Ivo_Andrić		
11341	DisplayPort	DisplayPort		
11342	Virtual memory	Virtuellt_minne		
11343	Ounce	Uns		
11344	Trombone	Trombon		
11345	Transgender	Transperson		
11346	Tomas Norström	Tomas_Norström		
11347	The Aviator (2004 film)	The_Aviator		
11348	Ted Nugent	Ted_Nugent		
11349	List of metropolitan areas in Sweden#Metropolitan Gothenburg	Storgöteborg		
11350	Geography of the United Kingdom	Storbritanniens_geografi		
11351	Languages of Africa	Språk_i_Afrika		
11352	Slavic languages	Slaviska_språk		
11353	Simon (given name)	Simon		
11354	Swedish International Development Cooperation Agency	Sida_(myndighet)		
11355	Shunt	Shunt		
11356	Shirley Clamp	Shirley_Clamp		
11357	Secret Service (band)	Secret_Service_(musikgrupp)		
11358	Scarface	Scarface		
11359	Så ska det låta	Så_ska_det_låta		
11360	Risk (game)	Risk_(spel)		
11361	Rhodesia	Rhodesia		
11362	RPM (disambiguation)	RPM		
11363	Accuracy International Arctic Warfare#Variants	Prickskyttegevär_90		
11364	Plymouth Brethren	Plymouthbröderna		
11365	Pitch (filmmaking)	Pitch		
11366	Pesto	Pesto		
11367	Peace & Love	Peace_&_Love		
11368	Ouzo	Ouzo		
11369	Oslo Airport	Oslo_flygplats		
11370	Opportunism	Opportunism		
11371	Ola Ullsten	Ola_Ullsten		
11372	Nynorsk	Nynorska		
11373	News agency	Nyhetsbyrå		
11374	Peripheral neuropathy	Neuropati		
11375	Netbook	Netbook		
11376	Night	Natt		
11377	Network layer	Nätverksskikt		
11378	Modern Talking	Modern_Talking		
11379	Minerva	Minerva		
11380	Marxism–Leninism	Marxism-leninism		
11381	Modern Times Group	MTG		
11382	Lilla Jönssonligan och cornflakeskuppen	Lilla_Jönssonligan_och_cornflakeskuppen		
11383	Legolas	Legolas		
11384	Lee Hazlewood	Lee_Hazlewood		
11385	Royal Swedish Opera	Kungliga_Operan		
11386	Concubine	Konkubin		
11387	Kon-Tiki	Kon-Tiki		
11388	Hummingbird	Kolibrier		
11389	Mute Swan	Knölsvan		
11390	Keri Hilson	Keri_Hilson		
11391	Jon Skolmen	Jon_Skolmen		
11392	History of India	Indiens_historia		
11393	Mortgage law	Hypotek		
11394	Horst Wessel	Horst_Wessel		
11395	Hilarie Burton	Hilarie_Burton		
11396	Henrik Pontén	Henrik_Pontén		
11397	Höga Kusten Bridge	Högakustenbron		
11398	Grozny	Groznyj		
11399	Gothenburg Cathedral	Göteborgs_domkyrka		
11400	Norway lemming	Fjällämmel		
11401	Fat Man	Fat_Man		
11402	F 17 Kallinge	F_17_Kallinge		
11403	Insurance	Försäkring		
11404	Faroese language	Färöiska		
11405	Dyspepsia	Dyspepsi		
11406	Drupal	Drupal		
11407	Delaware	Delaware		
11408	Daniel Tjernström	Daniel_Tjernström		
11409	Creed (band)	Creed_(musikgrupp)		
11410	Creative Commons	Creative_Commons		
11411	Central Powers	Centralmakterna		
11412	CGI	CGI		
11413	Brunch	Brunch		
11414	Bologna	Bologna		
11415	Beagle	Beagle_(hundras)		
11416	Banjo	Banjo		
11417	Andreas Axelsson (criminal)	Andreas_Axelsson		
11418	Ambient music	Ambient		
11419	ARPANET	ARPANET		
11420	13th century	1200-talet		
11421	Ovulation	Ägglossning		
11422	Production artist	Originalare		
11423	Solitude	Ensamhet		
11424	Brian Littrell	Brian_Littrell		
11425	Wildcat	Vildkatt		
11426	Viking rock	Vikingarock		
11427	Van Morrison	Van_Morrison		
11428	V	V		
11429	Habitual residence	Uppehållstillstånd		
11430	Umeå University	Umeå_universitet		
11431	Turkish people	Turkar		
11432	Tesla (unit)	Tesla		
11433	Engineering physics	Teknisk_fysik		
11434	Black mamba	Svart_mamba		
11435	Super Nintendo Entertainment System	Super_Nintendo_Entertainment_System		
11436	Summer solstice	Sommarsolståndet		
11437	Seth Green	Seth_Green		
11438	September (singer)	September_(artist)		
11439	Cramp	Sendrag		
11440	Säffle	Säffle		
11441	Ruhollah Khomeini	Ruhollah_Khomeini		
11442	Venture capital	Riskkapital		
11443	Portia de Rossi	Portia_de_Rossi		
11444	Porsche 944	Porsche_944		
11445	Pederasty	Pederasti		
11446	Indian Peafowl	Påfågel		
11447	Odessa	Odessa		
11448	Neil Strauss	Neil_Strauss		
11449	Kilogram#SI multiples	Milligram		
11450	Mausoleum	Mausoleum		
11451	Pulp and paper industry	Massa-_och_pappersindustri		
11452	Marlon Jackson	Marlon_Jackson		
11453	Maya (given name)	Maja		
11454	Heart of Darkness	Mörkrets_hjärta		
11455	Luxor	Luxor		
11456	Luc Besson	Luc_Besson		
11457	Graph of a function	Linjediagram		
11458	Count Lennart Bernadotte of Wisborg	Lennart_Bernadotte		
11459	La Paz	La_Paz		
11460	Swedish Prison and Probation Service	Kriminalvården		
11461	Compiler	Kompilator		
11462	Reciprocating engine	Kolvmotor		
11463	Kirk Douglas	Kirk_Douglas		
11464	Captain Haddock	Kapten_Haddock		
11465	Julianne Moore	Julianne_Moore		
11466	J. M. G. Le Clézio	Jean-Marie_Gustave_Le_Clézio		
11467	Jan Mybrand	Jan_Mybrand		
11468	Jacob Dahlin	Jacob_Dahlin		
11469	Immunology	Immunologi		
11470	Ich bin ein Berliner	Ich_bin_ein_Berliner		
11471	Swedish Humanist Association	Humanisterna_(förbund)		
11472	Heart (band)	Heart		
11473	Ganglion	Ganglion		
11474	Gallium	Gallium		
11475	Yawn	Gäspning		
11476	Fisting	Fisting		
11477	Fentanyl	Fentanyl		
11478	Field Marshal	Fältmarskalk		
11479	Eric Prydz	Eric_Prydz		
11480	Enid Blyton	Enid_Blyton		
11481	Element	Element		
11482	Dropkick Murphys	Dropkick_Murphys		
11483	Dawn French	Dawn_French		
11484	Conchata Ferrell	Conchata_Ferrell		
11485	Chester Bennington	Chester_Bennington		
11486	Cava (Spanish wine)	Cava		
11487	Carrie Underwood	Carrie_Underwood		
11488	Brisbane	Brisbane		
11489	Bradycardia	Bradykardi		
11490	Pétanque	Boule		
11491	Boer	Boer		
11492	Aston Villa F.C.	Aston_Villa_FC		
11493	Aripiprazole	Aripiprazol		
11494	Pharmacist	Apotekare		
11495	Aleksandr Solzhenitsyn	Aleksandr_Solzjenitsyn		
11496	Albert	Albrekt_av_Mecklenburg		
11497	Abkhazia	Abchazien		
11498	Acrylonitrile butadiene styrene	ABS-plast		
11499	1941	1941		
11500	1920	1920		
11501	Warship	Örlogsfartyg		
11502	AC power plugs and sockets	Stickkontakt		
11503	Natural Color System	Natural_Color_System		
11504	Human geography	Kulturgeografi		
11505	Insulator (electricity)	Isolator		
11506	Volvo 480	Volvo_480		
11507	Uniform	Uniform		
11508	United States Senate	USA:s_senat		
11509	Trolleholm Castle	Trolleholms_slott		
11510	Tore Hedin	Tore_Hedin		
11511	Tony Rickardsson	Tony_Rickardsson		
11512	Tiger shark	Tigerhaj		
11513	T. Rex (band)	T._Rex		
11514	Swedish Match	Swedish_Match		
11515	Nordic Bronze Age	Sverige_under_bronsåldern		
11516	Svartsoppa	Svartsoppa		
11517	Supine	Supinum		
11518	Star (polygon)	Stjärna_(symbol)		
11519	Steve-O	Steve-O		
11520	Star Alliance	Star_Alliance		
11521	List of spacecraft called Sputnik	Sputnik		
11522	Scholasticism	Skolastik		
11523	Siren	Sirener		
11524	Sarek National Park	Sarek		
11525	Robert Plant	Robert_Plant		
11526	Rat Pack	Rat_Pack		
11527	Randy Rhoads	Randy_Rhoads		
11528	European Robin	Rödhake		
11529	Puritan	Puritanism		
11530	Portland	Portland		
11531	Per Ragnar	Per_Ragnar		
11532	Skåne Commuter Rail	Pågatågen		
11533	Orange County Choppers	Orange_County_Choppers		
11534	Omeprazole	Omeprazol		
11535	Threat	Olaga_hot		
11536	Oh Laura	Oh_Laura		
11537	Commonwealth of Independent States	Oberoende_staters_samvälde		
11538	Nominative case	Nominativ		
11539	NLP	NLP		
11540	Microsoft SQL Server	Microsoft_SQL_Server		
11541	Lotta på Bråkmakargatan	Lotta_på_Bråkmakargatan_(film)		
11542	Lorry (TV series)	Lorry		
11543	Tree of life (biblical)	Livets_träd		
11544	Kungens Kurva	Kungens_kurva		
11545	Conjunction	Konjunktion		
11546	Public transport in Stockholm	Kollektivtrafik_i_Stockholms_län		
11547	Public transport	Kollektivtrafik		
11548	Coherence	Koherens		
11549	Kjell-Olof Feldt	Kjell-Olof_Feldt		
11550	Khalid Sheikh Mohammed	Khalid_Sheikh_Mohammed		
11551	Pornography	Pornografi		
11552	Computer engineering	Datateknik		
11553	Karolinska Institutet	Karolinska_institutet		
11554	Gospel of John	Johannesevangeliet		
11555	Jan Olof Olsson	Jan_Olof_Olsson		
11556	Jönköping Municipality	Jönköpings_kommun		
11557	Independence Day (film)	Independence_Day		
11558	Moomin (1990 TV series)	I_Mumindalen		
11559	IR	IR		
11560	Concussion	Hjärnskakning		
11561	Full-time	Heltid		
11562	Halley's Comet	Halleys_komet		
11563	Hökarängen	Hökarängen		
11564	University college	Högskola		
11565	Håkan Mild	Håkan_Mild		
11566	Northern Lights (novel)	Guldkompassen		
11567	Cape of Good Hope	Godahoppsudden		
11568	Free-diving	Fridykning		
11569	Flipsyde	Flipsyde		
11570	Fahrenheit 451	Fahrenheit_451		
11571	Excalibur	Excalibur		
11572	Developmental dyspraxia	Dyspraxi		
11573	Dirty Sanchez (TV series)	Dirty_Sanchez		
11574	Dick Cheney	Dick_Cheney		
11575	Eye of Providence	Det_allseende_ögat		
11576	David Arquette	David_Arquette		
11577	Damian Marley	Damian_Marley		
11578	Chelsea	Chelsea		
11579	Brendan Fraser	Brendan_Fraser		
11580	Bathing	Bad		
11581	Bålsta	Bålsta		
